Project Info,Full Name,Ticker,Website,Telegram,Twitter
https://www.coincarp.com/currencies/bitcoin/,Bitcoin,BTC,https://bitcoin.org/,https://t.me/www_Bitcoin_com,https://twitter.com/BTCTN
https://www.coincarp.com/currencies/ethereum/,Ethereum,ETH,https://www.ethereum.org/,,https://twitter.com/ethereum
https://www.coincarp.com/currencies/tether/,Tether,USDT,https://tether.to/,,https://twitter.com/Tether_to
https://www.coincarp.com/currencies/binance-coin/,Binance Coin,BNB,https://www.binance.com/,https://t.me/BinanceChinese,https://twitter.com/binance
https://www.coincarp.com/currencies/solana/,Solana,SOL,https://solana.com/,https://t.me/solana,https://twitter.com/solana
https://www.coincarp.com/currencies/ripple/,XRP,XRP,https://xrpl.org/,,https://twitter.com/Ripple
https://www.coincarp.com/currencies/usdc/,USD Coin,USDC,https://www.centre.io/,,https://twitter.com/centre_io
https://www.coincarp.com/currencies/lido/,Lido stETH,STETH,https://lido.fi/,https://t.me/lidofinance,https://twitter.com/lidofinance
https://www.coincarp.com/currencies/cardano/,Cardano,ADA,https://www.cardano.org/,https://t.me/CardanoAnnouncements,https://twitter.com/CardanoStiftung
https://www.coincarp.com/currencies/okb/,OKB,OKB,https://www.okx.com/,,
https://www.coincarp.com/currencies/dogecoin/,Dogecoin,DOGE,http://dogecoin.com/,https://t.me/dogecoin_official,https://twitter.com/dogecoin
https://www.coincarp.com/currencies/avalanche/,Avalanche,AVAX,https://www.avax.network/,https://t.me/avalancheavax,https://twitter.com/avalancheavax
https://www.coincarp.com/currencies/tron/,TRON,TRX,https://tron.network/,https://t.me/tronnetworkEN,https://twitter.com/tronfoundation
https://www.coincarp.com/currencies/polkadot100/,Polkadot,DOT,https://polkadot.network/,https://t.me/polkadotofficial,https://twitter.com/Polkadot
https://www.coincarp.com/currencies/chainlink/,ChainLink,LINK,https://chain.link/,https://t.me/chainlinkofficial,https://twitter.com/chainlink
https://www.coincarp.com/currencies/toncoin/,Toncoin,TON,https://ton.org/,https://t.me/toncoin,https://twitter.com/ton_blockchain
https://www.coincarp.com/currencies/matictoken/,Polygon,MATIC,https://matic.network/,,https://twitter.com/0xPolygon
https://www.coincarp.com/currencies/dai/,Dai,DAI,https://www.makerdao.com/,,https://twitter.com/MakerDAO
https://www.coincarp.com/currencies/wrapped-bitcoin/,Wrapped Bitcoin,WBTC,https://www.wbtc.network/,,https://twitter.com/WrappedBTC
https://www.coincarp.com/currencies/shibainu/,Shiba Inu,SHIB,https://shibatoken.com/,https://t.me/ShibaInu_Dogecoinkiller,https://twitter.com/Shibtoken
https://www.coincarp.com/currencies/dfinity/,Internet Computer,ICP,https://dfinity.org/,https://t.me/dfinity,https://twitter.com/dfinity
https://www.coincarp.com/currencies/litecoin/,Litecoin,LTC,https://litecoin.com/,https://t.me/litecoin,https://twitter.com/litecoin
https://www.coincarp.com/currencies/bitcoin-cash/,Bitcoin Cash,BCH,https://www.bitcoincash.org/,,
