Project Info,Full Name,Ticker,Website,Telegram,Twitter
https://coincheckup.com/coins/straks,STRAKS ,STAK,https://www.straks.io/,,
https://coincheckup.com/coins/winco,Winco ,WCO,https://winco.io/,https://t.me/joinchat/HKnCrEbdsn3mXStxMi3SZw,https://twitter.com/WincoCrypto
https://coincheckup.com/coins/ixtus-edutainment,IXTUS Edutainment ,IXE,http://www.ixtus.io/,https://t.me/ixtusedu,https://twitter.com/IxtusEdu
https://coincheckup.com/coins/ormeus-coin,Ormeus Coin ,ORMEUS,https://ormeuscoin.com/,https://t.me/OfficialORME,https://twitter.com/ormeusecosystem
https://coincheckup.com/coins/ixtus-edutainment,IXTUS Edutainment ,IXE,http://www.ixtus.io/,https://t.me/ixtusedu,https://twitter.com/IxtusEdu
https://coincheckup.com/coins/ixtus-edutainment,IXTUS Edutainment ,IXE,http://www.ixtus.io/,https://t.me/ixtusedu,https://twitter.com/IxtusEdu
https://coincheckup.com/coins/ormeus-coin,Ormeus Coin ,ORMEUS,https://ormeuscoin.com/,https://t.me/OfficialORME,https://twitter.com/ormeusecosystem
https://coincheckup.com/coins/ixtus-edutainment,IXTUS Edutainment ,IXE,http://www.ixtus.io/,https://t.me/ixtusedu,https://twitter.com/IxtusEdu
https://coincheckup.com/coins/ormeus-coin,Ormeus Coin ,ORMEUS,https://ormeuscoin.com/,https://t.me/OfficialORME,https://twitter.com/ormeusecosystem
https://coincheckup.com/coins/ixtus-edutainment,IXTUS Edutainment ,IXE,http://www.ixtus.io/,https://t.me/ixtusedu,https://twitter.com/IxtusEdu
https://coincheckup.com/coins/ormeus-coin,Ormeus Coin ,ORMEUS,https://ormeuscoin.com/,https://t.me/OfficialORME,https://twitter.com/ormeusecosystem
